Maximum T-shaped objects in a rectangle:,,,,,,,,,Format: maximum (free space)
,,,,,,,,,
,Width,,,,,,,,
Length,0,1,2,3,4,5,6,7,8
0,0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
1,0 (0),0 (1),0 (2),0 (3),0 (4),0 (5),0 (6),0 (7),0 (8)
2,0 (0),0 (2),0 (4),1 (2),1 (4),2 (2),2 (4),3 (2),3 (4)
3,0 (0),0 (3),1 (2),1 ( 5),2 (4),3 (3),4 (2),4 (5),5 (4)
4,0 (0),0 (4),1 (4),2 (4),4 (0),4 (4),5 (4),6 (4),8 (0)
5,0 (0),0 (5),2 (2),3 (3),4  (4),5 (5),7 (2),8 (3),9 (4)
6,0 (0),0 (6),2 (4),4 (2),5 (4),7 (2),8 (4),10 (2),11 (4)
7,0 (0),0 (7),3 (2),4 (5),6 (4),8 (3),10 (2),11 (5),13 (4)
8,0 (0),0 (8),3 (4),5 (4),8 (0),9 (4),11 (4),12 (4),16 (0)
9,0 (0),0 (9),4 (2),6 (3),8 (4),10 (5),13 (2),15 (3),17 (4)
10,0 (0),0 (10),4 (4),6 (6),9 (4),12 (2),14 (4), 17 (2),19 (4)
11,0 (0),0 (11),5 (2),7 (5),10 (4),13 (3),,,
12,0 (0),0 (12),5 (4),8 (4),12 (0),14 (4),,,
13,0 (0),0 (13),6 (2),8 (6),12 (4),,,,
14,0 (0),0 (14),6 (4),9 (5),13 (4),,,,
15,0 (0),0 (15),7 (2),10 (5),14 (4),,,,
16,0 (0),0 (16),7 (4),10 (4),16 (0),,,,
17,0 (0),0 (17),8 (2),11 (7),16 (4),,,,
18,0 (0),0 (18),8 (4),12 (6),17 (4),,,,
19,0 (0),0 (19),9 (2),12 (9),18 (4),,,,
20,0 (0),0 (20),9 (4),13 (8),20 (0),,,,
21,0 (0),0 (21),10 (2),14 (7),20 (4),,,,
22,0 (0),0 (22),10 (4),14 (10),21 (4),,,,
23,0 (0),0 (23),11 (2),15 (9),22 (4),,,,
24,0 (0),0 (24),11 (4),16 (8),24 (0),,,,
25,0 (0),0 (25),12 (2),16 (11),24 (4),,,,
26,0 (0),0 (26),12 (4),17 (10),25 (4),,,,
27,0 (0),0 (27),13 (2),18 (9),26 (4),,,,
28,0 (0),0 (28),13 (4),18 (12),28 (0),,,,
29,0 (0),0 (29),14 (2),19 (11),28 (4),,,,
30,0 (0),0 (30),14 (3),20 (10),29 (4),,,,
